municipio,pre_2013,pos_2013,sede,tipo_alteracao
Lousada,LUSTOSA,UNIÃO DAS FREGUESIAS DE LUSTOSA E BARROSAS (SANTO ESTÊVÃO),LUSTOSA,criada por agregação
Lousada,MACIEIRA,MACIEIRA,MACIEIRA,sem alteração
Lousada,MEINEDO,MEINEDO,MEINEDO,sem alteração
Lousada,NESPEREIRA,UNIÃO DAS FREGUESIAS DE NESPEREIRA E CASAIS,NESPEREIRA,criada por agregação
Lousada,NEVOGILDE,NEVOGILDE,NEVOGILDE,sem alteração
Lousada,NOGUEIRA,"UNIÃO DAS FREGUESIAS DE SILVARES, PIAS, NOGUEIRA E ALVARENGA",SILVARES,criada por agregação
Lousada,ORDEM,"UNIÃO DAS FREGUESIAS DE CRISTELOS, BOIM E ORDEM",CRISTELOS,criada por agregação
Lousada,PIAS,"UNIÃO DAS FREGUESIAS DE SILVARES, PIAS, NOGUEIRA E ALVARENGA",SILVARES,criada por agregação
Lousada,SILVARES,"UNIÃO DAS FREGUESIAS DE SILVARES, PIAS, NOGUEIRA E ALVARENGA",SILVARES,criada por agregação
Lousada,SOUSELA,SOUSELA,SOUSELA,sem alteração
Lousada,TORNO,TORNO,TORNO,sem alteração
Lousada,VILAR DO TORNO E ALENTÉM,VILAR DO TORNO E ALENTÉM,VILAR DO TORNO E ALENTÉM,sem alteração
Lousã,CASAL DE ERMIO,UNIÃO DAS FREGUESIAS DE FOZ DE AROUCE E CASAL DE ERMIO,FOZ DE AROUCE,criada por agregação
Lousã,FOZ DE AROUCE,UNIÃO DAS FREGUESIAS DE FOZ DE AROUCE E CASAL DE ERMIO,FOZ DE AROUCE,criada por agregação
Lousã,GÂNDARAS,GÂNDARAS,GÂNDARAS,sem alteração
Lousã,LOUSÃ,UNIÃO DAS FREGUESIAS DE LOUSÃ E VILARINHO,LOUSÃ,criada por agregação
Lousã,SERPINS,SERPINS,SERPINS,sem alteração
Lousã,VILARINHO,UNIÃO DAS FREGUESIAS DE LOUSÃ E VILARINHO,LOUSÃ,criada por agregação
Macedo de Cavaleiros,ALA,UNIÃO DAS FREGUESIAS DE ALA E VILARINHO DO MONTE,ALA,criada por agregação
Macedo de Cavaleiros,AMENDOEIRA,AMENDOEIRA,AMENDOEIRA,sem alteração
Macedo de Cavaleiros,ARCAS,ARCAS,ARCAS,sem alteração
Macedo de Cavaleiros,BAGUEIXE,UNIÃO DAS FREGUESIAS DE TALHINHAS E BAGUEIXE,GRALHÓS,criada por agregação
Macedo de Cavaleiros,BORNES,UNIÃO DAS FREGUESIAS DE BORNES E BURGA,BORNES,criada por agregação
Macedo de Cavaleiros,BURGA,UNIÃO DAS FREGUESIAS DE BORNES E BURGA,BORNES,criada por agregação
Macedo de Cavaleiros,CARRAPATAS,CARRAPATAS,CARRAPATAS,sem alteração
Macedo de Cavaleiros,CASTELÃOS,UNIÃO DAS FREGUESIAS DE CASTELÃOS E VILAR DO MONTE,CASTELÃOS,criada por agregação
Macedo de Cavaleiros,CHACIM,CHACIM,CHACIM,sem alteração
Macedo de Cavaleiros,CORTIÇOS,CORTIÇOS,CORTIÇOS,sem alteração
Macedo de Cavaleiros,CORUJAS,CORUJAS,CORUJAS,sem alteração
Macedo de Cavaleiros,EDROSO,"UNIÃO DAS FREGUESIAS DE ESPADANEDO, EDROSO, MURÇÓS E SOUTELO MOURISCO",ESPADANEDO,criada por agregação
Macedo de Cavaleiros,ESPADANEDO,"UNIÃO DAS FREGUESIAS DE ESPADANEDO, EDROSO, MURÇÓS E SOUTELO MOURISCO",ESPADANEDO,criada por agregação
Macedo de Cavaleiros,FERREIRA,FERREIRA,FERREIRA,sem alteração
Macedo de Cavaleiros,GRIJÓ,GRIJÓ,GRIJÓ,sem alteração
Macedo de Cavaleiros,LAGOA,LAGOA,LAGOA,sem alteração
Macedo de Cavaleiros,LAMALONGA,LAMALONGA,LAMALONGA,sem alteração
Macedo de Cavaleiros,LAMAS,LAMAS,LAMAS,sem alteração
Macedo de Cavaleiros,LOMBO,LOMBO,LOMBO,sem alteração
Macedo de Cavaleiros,MACEDO DE CAVALEIROS,MACEDO DE CAVALEIROS,MACEDO DE CAVALEIROS,sem alteração
Macedo de Cavaleiros,MORAIS,MORAIS,MORAIS,sem alteração
Macedo de Cavaleiros,MURÇÓS,"UNIÃO DAS FREGUESIAS DE ESPADANEDO, EDROSO, MURÇÓS E SOUTELO MOURISCO",ESPADANEDO,criada por agregação
Macedo de Cavaleiros,OLMOS,OLMOS,OLMOS,sem alteração
Macedo de Cavaleiros,PEREDO,PEREDO,PEREDO,sem alteração
Macedo de Cavaleiros,PODENCE,UNIÃO DAS FREGUESIAS DE PODENCE E SANTA COMBINHA,PODENCE,criada por agregação
Macedo de Cavaleiros,SALSELAS,SALSELAS,SALSELAS,sem alteração
Macedo de Cavaleiros,SANTA COMBINHA,UNIÃO DAS FREGUESIAS DE PODENCE E SANTA COMBINHA,PODENCE,criada por agregação
Macedo de Cavaleiros,SEZULFE,SEZULFE,SEZULFE,sem alteração
Macedo de Cavaleiros,SOUTELO MOURISCO,"UNIÃO DAS FREGUESIAS DE ESPADANEDO, EDROSO, MURÇÓS E SOUTELO MOURISCO",ESPADANEDO,criada por agregação
Macedo de Cavaleiros,TALHAS,TALHAS,TALHAS,sem alteração
Macedo de Cavaleiros,TALHINHAS,UNIÃO DAS FREGUESIAS DE TALHINHAS E BAGUEIXE,GRALHÓS,criada por agregação
Macedo de Cavaleiros,VALE BENFEITO,VALE BENFEITO,VALE BENFEITO,sem alteração
Macedo de Cavaleiros,VALE DA PORCA,VALE DA PORCA,VALE DA PORCA,sem alteração
Macedo de Cavaleiros,VALE DE PRADOS,VALE DE PRADOS,VALE DE PRADOS,sem alteração
Macedo de Cavaleiros,VILAR DO MONTE,UNIÃO DAS FREGUESIAS DE CASTELÃOS E VILAR DO MONTE,CASTELÃOS,criada por agregação
Macedo de Cavaleiros,VILARINHO DE AGROCHÃO,VILARINHO DE AGROCHÃO,VILARINHO DE AGROCHÃO,sem alteração
Macedo de Cavaleiros,VILARINHO DO MONTE,UNIÃO DAS FREGUESIAS DE ALA E VILARINHO DO MONTE,ALA,criada por agregação
Macedo de Cavaleiros,VINHAS,VINHAS,VINHAS,sem alteração
Mação,ABOBOREIRA,"UNIÃO DAS FREGUESIAS DE MAÇÃO, PENHASCOSO E ABOBOREIRA",MAÇÃO,criada por agregação
Mação,AMÊNDOA,AMÊNDOA,AMÊNDOA,sem alteração
Mação,CARDIGOS,CARDIGOS,CARDIGOS,sem alteração
Mação,CARVOEIRO,CARVOEIRO,CARVOEIRO,sem alteração
Mação,ENVENDOS,ENVENDOS,ENVENDOS,sem alteração
Mação,MAÇÃO,"UNIÃO DAS FREGUESIAS DE MAÇÃO, PENHASCOSO E ABOBOREIRA",MAÇÃO,criada por agregação
Mação,ORTIGA,ORTIGA,ORTIGA,sem alteração
Mação,PENHASCOSO,"UNIÃO DAS FREGUESIAS DE MAÇÃO, PENHASCOSO E ABOBOREIRA",MAÇÃO,criada por agregação
Mafra,AZUEIRA,UNIÃO DAS FREGUESIAS DE AZUEIRA E SOBRAL DA ABELHEIRA,AZUEIRA,criada por agregação
Mafra,CARVOEIRA,CARVOEIRA,CARVOEIRA,sem alteração
Mafra,CHELEIROS,UNIÃO DAS FREGUESIAS DE IGREJA NOVA E CHELEIROS,IGREJA NOVA,criada por agregação
Mafra,ENCARNAÇÃO,ENCARNAÇÃO,ENCARNAÇÃO,sem alteração
Mafra,ENXARA DO BISPO,"UNIÃO DAS FREGUESIAS DE ENXARA DO BISPO, GRADIL E VILA FRANCA DO ROSÁRIO",ENXARA DO BISPO,criada por agregação
Mafra,ERICEIRA,ERICEIRA,ERICEIRA,sem alteração
Mafra,GRADIL,"UNIÃO DAS FREGUESIAS DE ENXARA DO BISPO, GRADIL E VILA FRANCA DO ROSÁRIO",ENXARA DO BISPO,criada por agregação
Mafra,IGREJA NOVA,UNIÃO DAS FREGUESIAS DE IGREJA NOVA E CHELEIROS,IGREJA NOVA,criada por agregação
Mafra,MAFRA,MAFRA,MAFRA,sem alteração
Mafra,MALVEIRA,UNIÃO DAS FREGUESIAS DE MALVEIRA E SÃO MIGUEL DE ALCAINÇA,MALVEIRA,criada por agregação
Mafra,MILHARADO,MILHARADO,MILHARADO,sem alteração
Mafra,SANTO ESTÊVÃO DAS GALÉS,UNIÃO DAS FREGUESIAS DE VENDA DO PINHEIRO E SANTO ESTÊVÃO DAS GALÉS,VENDA DO PINHEIRO,criada por agregação
Mafra,SANTO ISIDORO,SANTO ISIDORO,SANTO ISIDORO,sem alteração
Mafra,SÃO MIGUEL DE ALCAINÇA,UNIÃO DAS FREGUESIAS DE MALVEIRA E SÃO MIGUEL DE ALCAINÇA,MALVEIRA,criada por agregação
Mafra,SOBRAL DA ABELHEIRA,UNIÃO DAS FREGUESIAS DE AZUEIRA E SOBRAL DA ABELHEIRA,AZUEIRA,criada por agregação
Mafra,VENDA DO PINHEIRO,UNIÃO DAS FREGUESIAS DE VENDA DO PINHEIRO E SANTO ESTÊVÃO DAS GALÉS,VENDA DO PINHEIRO,criada por agregação
Mafra,VILA FRANCA DO ROSÁRIO,"UNIÃO DAS FREGUESIAS DE ENXARA DO BISPO, GRADIL E VILA FRANCA DO ROSÁRIO",ENXARA DO BISPO,criada por agregação
Maia,AVIOSO (SANTA MARIA),CASTÊLO DA MAIA,"RUA DO PADRE DOMINGOS DA SILVA, 40, 4475-124 MAIA",criada por agregação
Maia,AVIOSO (SÃO PEDRO),CASTÊLO DA MAIA,"RUA DO PADRE DOMINGOS DA SILVA, 40, 4475-124 MAIA",criada por agregação
Maia,ÁGUAS SANTAS,ÁGUAS SANTAS,ÁGUAS SANTAS,sem alteração
Maia,BARCA,CASTÊLO DA MAIA,"RUA DO PADRE DOMINGOS DA SILVA, 40, 4475-124 MAIA",criada por agregação
Maia,FOLGOSA,FOLGOSA,FOLGOSA,sem alteração
Maia,GEMUNDE,CASTÊLO DA MAIA,"RUA DO PADRE DOMINGOS DA SILVA, 40, 4475-124 MAIA",criada por agregação
Maia,GONDIM,CASTÊLO DA MAIA,"RUA DO PADRE DOMINGOS DA SILVA, 40, 4475-124 MAIA",criada por agregação
Maia,GUEIFÃES,CIDADE DA MAIA,"AVENIDA DE DOM MANUEL II, 1573, 4470-334 MAIA",criada por agregação
Maia,MAIA,CIDADE DA MAIA,"AVENIDA DE DOM MANUEL II, 1573, 4470-334 MAIA",criada por agregação
Maia,MILHEIRÓS,MILHEIRÓS,MILHEIRÓS,sem alteração
Maia,MOREIRA,MOREIRA,MOREIRA,sem alteração
Maia,NOGUEIRA,NOGUEIRA E SILVA ESCURA,"RUA DO CALVÁRIO, 380, 4475-463 MAIA",criada por agregação
Maia,PEDROUÇOS,PEDROUÇOS,PEDROUÇOS,sem alteração
Maia,SÃO PEDRO FINS,SÃO PEDRO FINS,SÃO PEDRO FINS,sem alteração
Maia,SILVA ESCURA,NOGUEIRA E SILVA ESCURA,"RUA DO CALVÁRIO, 380, 4475-463 MAIA",criada por agregação
Maia,VERMOIM,CIDADE DA MAIA,"AVENIDA DE DOM MANUEL II, 1573, 4470-334 MAIA",criada por agregação
Maia,VILA NOVA DA TELHA,VILA NOVA DA TELHA,VILA NOVA DA TELHA,sem alteração
Mangualde,ABRUNHOSA-A-VELHA,ABRUNHOSA-A-VELHA,ABRUNHOSA-A-VELHA,sem alteração
Mangualde,ALCAFACHE,ALCAFACHE,ALCAFACHE,sem alteração
Mangualde,CHÃS DE TAVARES,"UNIÃO DAS FREGUESIAS DE TAVARES (CHÃS, VÁRZEA E TRAVANCA)",CHÃS DE TAVARES,criada por agregação
Mangualde,CUNHA ALTA,"UNIÃO DAS FREGUESIAS DE MANGUALDE, MESQUITELA E CUNHA ALTA",MANGUALDE,criada por agregação
Mangualde,CUNHA BAIXA,CUNHA BAIXA,CUNHA BAIXA,sem alteração
Mangualde,ESPINHO,ESPINHO,ESPINHO,sem alteração
Mangualde,FORNOS DE MACEIRA DÃO,FORNOS DE MACEIRA DÃO,FORNOS DE MACEIRA DÃO,sem alteração
Mangualde,FREIXIOSA,FREIXIOSA,FREIXIOSA,sem alteração
Mangualde,LOBELHE DO MATO,UNIÃO DAS FREGUESIAS DE MOIMENTA DE MACEIRA DÃO E LOBELHE DO MATO,MOIMENTA DE MACEIRA DÃO,criada por agregação
Mangualde,MANGUALDE,"UNIÃO DAS FREGUESIAS DE MANGUALDE, MESQUITELA E CUNHA ALTA",MANGUALDE,criada por agregação
Mangualde,MESQUITELA,"UNIÃO DAS FREGUESIAS DE MANGUALDE, MESQUITELA E CUNHA ALTA",MANGUALDE,criada por agregação
Mangualde,MOIMENTA DE MACEIRA DÃO,UNIÃO DAS FREGUESIAS DE MOIMENTA DE MACEIRA DÃO E LOBELHE DO MATO,MOIMENTA DE MACEIRA DÃO,criada por agregação
Mangualde,PÓVOA DE CERVÃES,UNIÃO DAS FREGUESIAS DE SANTIAGO DE CASSURRÃES E PÓVOA DE CERVÃES,SANTIAGO DE CASSURRÃES,criada por agregação
Mangualde,QUINTELA DE AZURARA,QUINTELA DE AZURARA,QUINTELA DE AZURARA,sem alteração
Mangualde,SANTIAGO DE CASSURRÃES,UNIÃO DAS FREGUESIAS DE SANTIAGO DE CASSURRÃES E PÓVOA DE CERVÃES,SANTIAGO DE CASSURRÃES,criada por agregação
Mangualde,SÃO JOÃO DA FRESTA,SÃO JOÃO DA FRESTA,SÃO JOÃO DA FRESTA,sem alteração
Mangualde,TRAVANCA DE TAVARES,"UNIÃO DAS FREGUESIAS DE TAVARES (CHÃS, VÁRZEA E TRAVANCA)",CHÃS DE TAVARES,criada por agregação
Mangualde,VÁRZEA DE TAVARES,"UNIÃO DAS FREGUESIAS DE TAVARES (CHÃS, VÁRZEA E TRAVANCA)",CHÃS DE TAVARES,criada por agregação
Manteigas,MANTEIGAS (SANTA MARIA),MANTEIGAS (SANTA MARIA),MANTEIGAS (SANTA MARIA),sem alteração
Manteigas,MANTEIGAS (SÃO PEDRO),MANTEIGAS (SÃO PEDRO),MANTEIGAS (SÃO PEDRO),sem alteração
Manteigas,SAMEIRO,SAMEIRO,SAMEIRO,sem alteração
Manteigas,VALE DE AMOREIRA,VALE DE AMOREIRA,VALE DE AMOREIRA,sem alteração
Marco de Canaveses,ALPENDURADA E MATOS,"ALPENDORADA, VÁRZEA E TORRÃO",ALPENDORADA,criada por agregação
Marco de Canaveses,ARIZ,BEM VIVER,ARIZ,criada por agregação
Marco de Canaveses,AVESSADAS,AVESSADAS E ROSÉM,AVESSADAS,criada por agregação
Marco de Canaveses,BANHO E CARVALHOSA,BANHO E CARVALHOSA,BANHO E CARVALHOSA,sem alteração
Marco de Canaveses,CONSTANCE,CONSTANCE,CONSTANCE,sem alteração
Marco de Canaveses,FAVÕES,BEM VIVER,ARIZ,criada por agregação
Marco de Canaveses,FOLHADA,"VÁRZEA, ALIVIADA E FOLHADA",VÁRZEA,criada por agregação
Marco de Canaveses,FORNOS,MARCO,TUIAS,criada por agregação
Marco de Canaveses,FREIXO,MARCO,TUIAS,criada por agregação
Marco de Canaveses,MAGRELOS,BEM VIVER,ARIZ,criada por agregação
Marco de Canaveses,MANHUNCELOS,PAREDES DE VIADORES E MANHUNCELOS,PAREDES DE VIADORES,criada por agregação
Marco de Canaveses,MAURELES,VILA BOA DE QUIRES E MAURELES,VILA BOA DE QUIRES,criada por agregação
Marco de Canaveses,PAÇOS DE GAIOLO,PENHALONGA E PAÇOS DE GAIOLO,PENHALONGA,criada por agregação
Marco de Canaveses,PAREDES DE VIADORES,PAREDES DE VIADORES E MANHUNCELOS,PAREDES DE VIADORES,criada por agregação
Marco de Canaveses,PENHA LONGA,PENHALONGA E PAÇOS DE GAIOLO,PENHALONGA,criada por agregação
Marco de Canaveses,RIO DE GALINHAS,MARCO,TUIAS,criada por agregação
Marco de Canaveses,ROSÉM,AVESSADAS E ROSÉM,AVESSADAS,criada por agregação
Marco de Canaveses,SANDE,SANDE E SÃO LOURENÇO,SANDE,criada por agregação
Marco de Canaveses,SANTO ISIDORO,LIVRAÇÃO,TOUTOSA,criada por agregação
Marco de Canaveses,SÃO LOURENÇO DO DOURO,SANDE E SÃO LOURENÇO,SANDE,criada por agregação
Marco de Canaveses,SÃO NICOLAU,MARCO,TUIAS,criada por agregação
Marco de Canaveses,SOALHÃES,SOALHÃES,SOALHÃES,sem alteração
Marco de Canaveses,SOBRETÂMEGA,SOBRETÂMEGA,SOBRETÂMEGA,sem alteração
Marco de Canaveses,TABUADO,TABUADO,TABUADO,sem alteração
Marco de Canaveses,TORRÃO,"ALPENDORADA, VÁRZEA E TORRÃO",ALPENDORADA,criada por agregação
Marco de Canaveses,TOUTOSA,LIVRAÇÃO,TOUTOSA,criada por agregação
Marco de Canaveses,TUIAS,MARCO,TUIAS,criada por agregação
Marco de Canaveses,VÁRZEA DA OVELHA E ALIVIADA,"VÁRZEA, ALIVIADA E FOLHADA",VÁRZEA,criada por agregação
Marco de Canaveses,VÁRZEA DO DOURO,"ALPENDORADA, VÁRZEA E TORRÃO",ALPENDORADA,criada por agregação
Marco de Canaveses,VILA BOA DE QUIRES,VILA BOA DE QUIRES E MAURELES,VILA BOA DE QUIRES,criada por agregação
Marco de Canaveses,VILA BOA DO BISPO,VILA BOA DO BISPO,VILA BOA DO BISPO,sem alteração
Marinha Grande,MARINHA GRANDE,MARINHA GRANDE,MARINHA GRANDE,sem alteração
Marinha Grande,MOITA,MOITA,MOITA,sem alteração
Marinha Grande,VIEIRA DE LEIRIA,VIEIRA DE LEIRIA,VIEIRA DE LEIRIA,sem alteração
Marvão,BEIRÃ,BEIRÃ,BEIRÃ,sem alteração
Marvão,SANTA MARIA DE MARVÃO,SANTA MARIA DE MARVÃO,SANTA MARIA DE MARVÃO,sem alteração
Marvão,SANTO ANTÓNIO DAS AREIAS,SANTO ANTÓNIO DAS AREIAS,SANTO ANTÓNIO DAS AREIAS,sem alteração
Marvão,SÃO SALVADOR DA ARAMENHA,SÃO SALVADOR DA ARAMENHA,SÃO SALVADOR DA ARAMENHA,sem alteração
Matosinhos,CUSTÓIAS,"UNIÃO DAS FREGUESIAS DE CUSTÓIAS, LEÇA DO BALIO E GUIFÕES",CUSTÓIAS,criada por agregação
Matosinhos,GUIFÕES,"UNIÃO DAS FREGUESIAS DE CUSTÓIAS, LEÇA DO BALIO E GUIFÕES",CUSTÓIAS,criada por agregação
Matosinhos,LAVRA,"UNIÃO DAS FREGUESIAS DE PERAFITA, LAVRA E SANTA CRUZ DO BISPO",PERAFITA,criada por agregação
Matosinhos,LEÇA DA PALMEIRA,UNIÃO DAS FREGUESIAS DE MATOSINHOS E LEÇA DA PALMEIRA,MATOSINHOS,criada por agregação
Matosinhos,LEÇA DO BALIO,"UNIÃO DAS FREGUESIAS DE CUSTÓIAS, LEÇA DO BALIO E GUIFÕES",CUSTÓIAS,criada por agregação
Matosinhos,MATOSINHOS,UNIÃO DAS FREGUESIAS DE MATOSINHOS E LEÇA DA PALMEIRA,MATOSINHOS,criada por agregação
Matosinhos,PERAFITA,"UNIÃO DAS FREGUESIAS DE PERAFITA, LAVRA E SANTA CRUZ DO BISPO",PERAFITA,criada por agregação
Matosinhos,SANTA CRUZ DO BISPO,"UNIÃO DAS FREGUESIAS DE PERAFITA, LAVRA E SANTA CRUZ DO BISPO",PERAFITA,criada por agregação
Matosinhos,SÃO MAMEDE DE INFESTA,UNIÃO DAS FREGUESIAS DE SÃO MAMEDE DE INFESTA E SENHORA DA HORA,SENHORA DA HORA,criada por agregação
Matosinhos,SENHORA DA HORA,UNIÃO DAS FREGUESIAS DE SÃO MAMEDE DE INFESTA E SENHORA DA HORA,SENHORA DA HORA,criada por agregação
Mealhada,ANTES,"UNIÃO DAS FREGUESIAS DA MEALHADA, VENTOSA DO BAIRRO E ANTES",MEALHADA,criada por agregação
Mealhada,BARCOUÇO,BARCOUÇO,BARCOUÇO,sem alteração
Mealhada,CASAL COMBA,CASAL COMBA,CASAL COMBA,sem alteração
Mealhada,LUSO,LUSO,LUSO,sem alteração
Mealhada,MEALHADA,"UNIÃO DAS FREGUESIAS DA MEALHADA, VENTOSA DO BAIRRO E ANTES",MEALHADA,criada por agregação
Mealhada,PAMPILHOSA,PAMPILHOSA,PAMPILHOSA,sem alteração
Mealhada,VACARIÇA,VACARIÇA,VACARIÇA,sem alteração
Mealhada,VENTOSA DO BAIRRO,"UNIÃO DAS FREGUESIAS DA MEALHADA, VENTOSA DO BAIRRO E ANTES",MEALHADA,criada por agregação
Meda,AVELOSO,AVELOSO,AVELOSO,sem alteração
Meda,BARREIRA,BARREIRA,BARREIRA,sem alteração
Meda,CARVALHAL,"UNIÃO DAS FREGUESIAS DE VALE FLOR, CARVALHAL E PAI PENELA",VALE FLOR,criada por agregação
Meda,CASTEIÇÃO,UNIÃO DAS FREGUESIAS DE PROVA E CASTEIÇÃO,PROVA,criada por agregação
Meda,CORISCADA,CORISCADA,CORISCADA,sem alteração
Meda,FONTE LONGA,"UNIÃO DAS FREGUESIAS DE MEDA, OUTEIRO DE GATOS E FONTE LONGA",MEDA,criada por agregação
Meda,LONGROIVA,LONGROIVA,LONGROIVA,sem alteração
Meda,MARIALVA,MARIALVA,MARIALVA,sem alteração
Meda,MEDA,"UNIÃO DAS FREGUESIAS DE MEDA, OUTEIRO DE GATOS E FONTE LONGA",MEDA,criada por agregação
Meda,OUTEIRO DE GATOS,"UNIÃO DAS FREGUESIAS DE MEDA, OUTEIRO DE GATOS E FONTE LONGA",MEDA,criada por agregação
Meda,PAI PENELA,"UNIÃO DAS FREGUESIAS DE VALE FLOR, CARVALHAL E PAI PENELA",VALE FLOR,criada por agregação
Meda,POÇO DO CANTO,POÇO DO CANTO,POÇO DO CANTO,sem alteração
Meda,PROVA,UNIÃO DAS FREGUESIAS DE PROVA E CASTEIÇÃO,PROVA,criada por agregação
Meda,RABAÇAL,RABAÇAL,RABAÇAL,sem alteração
Meda,RANHADOS,RANHADOS,RANHADOS,sem alteração
Meda,VALE FLOR,"UNIÃO DAS FREGUESIAS DE VALE FLOR, CARVALHAL E PAI PENELA",VALE FLOR,criada por agregação
Melgaço,ALVAREDO,ALVAREDO,ALVAREDO,sem alteração
Melgaço,CASTRO LABOREIRO,UNIÃO DAS FREGUESIAS DE CASTRO LABOREIRO E LAMAS DE MOURO,CASTRO LABOREIRO,criada por agregação
Melgaço,CHAVIÃES,UNIÃO DAS FREGUESIAS DE CHAVIÃES E PAÇOS,CHAVIÃES,criada por agregação
Melgaço,COUSSO,COUSSO,COUSSO,sem alteração
Melgaço,CRISTOVAL,CRISTOVAL,CRISTOVAL,sem alteração
Melgaço,CUBALHÃO,UNIÃO DAS FREGUESIAS DE PARADA DO MONTE E CUBALHÃO,PARADA DO MONTE,criada por agregação
Melgaço,FIÃES,FIÃES,FIÃES,sem alteração
Melgaço,GAVE,GAVE,GAVE,sem alteração
Melgaço,LAMAS DE MOURO,UNIÃO DAS FREGUESIAS DE CASTRO LABOREIRO E LAMAS DE MOURO,CASTRO LABOREIRO,criada por agregação
Melgaço,PAÇOS,UNIÃO DAS FREGUESIAS DE CHAVIÃES E PAÇOS,CHAVIÃES,criada por agregação
Melgaço,PADERNE,PADERNE,PADERNE,sem alteração
Melgaço,PARADA DO MONTE,UNIÃO DAS FREGUESIAS DE PARADA DO MONTE E CUBALHÃO,PARADA DO MONTE,criada por agregação
Melgaço,PENSO,PENSO,PENSO,sem alteração
Melgaço,PRADO,UNIÃO DAS FREGUESIAS DE PRADO E REMOÃES,PRADO,criada por agregação
Melgaço,REMOÃES,UNIÃO DAS FREGUESIAS DE PRADO E REMOÃES,PRADO,criada por agregação
Melgaço,ROUSSAS,UNIÃO DAS FREGUESIAS DE VILA E ROUSSAS,VILA,criada por agregação
Melgaço,SÃO PAIO,SÃO PAIO,SÃO PAIO,sem alteração
Melgaço,VILA,UNIÃO DAS FREGUESIAS DE VILA E ROUSSAS,VILA,criada por agregação
Mesão Frio,BARQUEIROS,BARQUEIROS,BARQUEIROS,sem alteração
Mesão Frio,CIDADELHE,CIDADELHE,CIDADELHE,sem alteração
Mesão Frio,MESÃO FRIO (SANTA CRISTINA),MESÃO FRIO (SANTO ANDRÉ),MESÃO FRIO (SÃO NICOLAU),criada por agregação
Mesão Frio,MESÃO FRIO (SÃO NICOLAU),MESÃO FRIO (SANTO ANDRÉ),MESÃO FRIO (SÃO NICOLAU),criada por agregação
Mesão Frio,OLIVEIRA,OLIVEIRA,OLIVEIRA,sem alteração
Mesão Frio,VILA JUSÃ,MESÃO FRIO (SANTO ANDRÉ),MESÃO FRIO (SÃO NICOLAU),criada por agregação
Mesão Frio,VILA MARIM,VILA MARIM,VILA MARIM,sem alteração
Mértola,ALCARIA RUIVA,ALCARIA RUIVA,ALCARIA RUIVA,sem alteração
Mértola,CORTE DO PINTO,CORTE DO PINTO,CORTE DO PINTO,sem alteração
Mértola,ESPÍRITO SANTO,ESPÍRITO SANTO,ESPÍRITO SANTO,sem alteração
Mértola,MÉRTOLA,MÉRTOLA,MÉRTOLA,sem alteração
Mértola,SANTANA DE CAMBAS,SANTANA DE CAMBAS,SANTANA DE CAMBAS,sem alteração
Mértola,SÃO JOÃO DOS CALDEIREIROS,SÃO JOÃO DOS CALDEIREIROS,SÃO JOÃO DOS CALDEIREIROS,sem alteração
Mértola,SÃO MIGUEL DO PINHEIRO,"UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO PINHEIRO, SÃO PEDRO DE SOLIS E SÃO SEBASTIÃO DOS CARROS",SÃO MIGUEL DO PINHEIRO,criada por agregação
Mértola,SÃO PEDRO DE SOLIS,"UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO PINHEIRO, SÃO PEDRO DE SOLIS E SÃO SEBASTIÃO DOS CARROS",SÃO MIGUEL DO PINHEIRO,criada por agregação
Mértola,SÃO SEBASTIÃO DOS CARROS,"UNIÃO DAS FREGUESIAS DE SÃO MIGUEL DO PINHEIRO, SÃO PEDRO DE SOLIS E SÃO SEBASTIÃO DOS CARROS",SÃO MIGUEL DO PINHEIRO,criada por agregação
Mira,CARAPELHOS,CARAPELHOS,CARAPELHOS,sem alteração
Mira,MIRA,MIRA,MIRA,sem alteração
Mira,PRAIA DE MIRA,PRAIA DE MIRA,PRAIA DE MIRA,sem alteração
Mira,SEIXO,SEIXO,SEIXO,sem alteração
Miranda do Corvo,LAMAS,LAMAS,LAMAS,sem alteração
Miranda do Corvo,MIRANDA DO CORVO,MIRANDA DO CORVO,MIRANDA DO CORVO,sem alteração
Miranda do Corvo,RIO VIDE,UNIÃO DAS FREGUESIAS DE SEMIDE E RIO VIDE,SEMIDE,criada por agregação
Miranda do Corvo,SEMIDE,UNIÃO DAS FREGUESIAS DE SEMIDE E RIO VIDE,SEMIDE,criada por agregação
Miranda do Corvo,VILA NOVA,VILA NOVA,VILA NOVA,sem alteração
Miranda do Douro,ATENOR,UNIÃO DAS FREGUESIAS DE SENDIM E ATENOR,SENDIM,criada por agregação
Miranda do Douro,ÁGUAS VIVAS,UNIÃO DAS FREGUESIAS DE SILVA E ÁGUAS VIVAS,SILVA,criada por agregação
Miranda do Douro,CICOURO,UNIÃO DAS FREGUESIAS DE CONSTANTIM E CICOURO,CONSTANTIM,criada por agregação
Miranda do Douro,CONSTANTIM,UNIÃO DAS FREGUESIAS DE CONSTANTIM E CICOURO,CONSTANTIM,criada por agregação
Miranda do Douro,DUAS IGREJAS,DUAS IGREJAS,DUAS IGREJAS,sem alteração
Miranda do Douro,GENÍSIO,GENÍSIO,GENÍSIO,sem alteração
Miranda do Douro,IFANES,UNIÃO DAS FREGUESIAS DE IFANES E PARADELA,IFANES,criada por agregação
