municipio,pre_2013,pos_2013,sede,tipo_alteracao
Santarém,VAQUEIROS,UNIÃO DAS FREGUESIAS DE CASÉVEL E VAQUEIROS,CASÉVEL,criada por agregação
Santarém,VÁRZEA,UNIÃO DAS FREGUESIAS DE ROMEIRA E VÁRZEA,VÁRZEA,criada por agregação
Santiago do Cacém,ABELA,ABELA,ABELA,sem alteração
Santiago do Cacém,ALVALADE,ALVALADE,ALVALADE,sem alteração
Santiago do Cacém,CERCAL,CERCAL,CERCAL,sem alteração
Santiago do Cacém,ERMIDAS-SADO,ERMIDAS-SADO,ERMIDAS-SADO,sem alteração
Santiago do Cacém,SANTA CRUZ,"UNIÃO DAS FREGUESIAS DE SANTIAGO DO CACÉM, SANTA CRUZ E SÃO BARTOLOMEU DA SERRA",SANTIAGO DO CACÉM,criada por agregação
Santiago do Cacém,SANTIAGO DO CACÉM,"UNIÃO DAS FREGUESIAS DE SANTIAGO DO CACÉM, SANTA CRUZ E SÃO BARTOLOMEU DA SERRA",SANTIAGO DO CACÉM,criada por agregação
Santiago do Cacém,SANTO ANDRÉ,SANTO ANDRÉ,SANTO ANDRÉ,sem alteração
Santiago do Cacém,SÃO BARTOLOMEU DA SERRA,"UNIÃO DAS FREGUESIAS DE SANTIAGO DO CACÉM, SANTA CRUZ E SÃO BARTOLOMEU DA SERRA",SANTIAGO DO CACÉM,criada por agregação
Santiago do Cacém,SÃO DOMINGOS,UNIÃO DAS FREGUESIAS DE SÃO DOMINGOS E VALE DE ÁGUA,SÃO DOMINGOS,criada por agregação
Santiago do Cacém,SÃO FRANCISCO DA SERRA,SÃO FRANCISCO DA SERRA,SÃO FRANCISCO DA SERRA,sem alteração
Santiago do Cacém,VALE DE ÁGUA,UNIÃO DAS FREGUESIAS DE SÃO DOMINGOS E VALE DE ÁGUA,SÃO DOMINGOS,criada por agregação
Santo Tirso,AGRELA,AGRELA,AGRELA,sem alteração
Santo Tirso,AREIAS,"UNIÃO DAS FREGUESIAS DE AREIAS, SEQUEIRÓ, LAMA E PALMEIRA",AREIAS,criada por agregação
Santo Tirso,AVES,AVES,AVES,sem alteração
Santo Tirso,ÁGUA LONGA,ÁGUA LONGA,ÁGUA LONGA,sem alteração
Santo Tirso,BURGÃES,"UNIÃO DAS FREGUESIAS DE SANTO TIRSO, COUTO (SANTA CRISTINA E SÃO MIGUEL) E BURGÃES",SANTO TIRSO,criada por agregação
Santo Tirso,CAMPO (SÃO MARTINHO),"UNIÃO DAS FREGUESIAS DE CAMPO (SÃO MARTINHO), SÃO SALVADOR DO CAMPO E NEGRELOS (SÃO MAMEDE)",CAMPO (SÃO MARTINHO),criada por agregação
Santo Tirso,CARREIRA,UNIÃO DAS FREGUESIAS DE CARREIRA E REFOJOS DE RIBA DE AVE,CARREIRA,criada por agregação
Santo Tirso,COUTO (SANTA CRISTINA),"UNIÃO DAS FREGUESIAS DE SANTO TIRSO, COUTO (SANTA CRISTINA E SÃO MIGUEL) E BURGÃES",SANTO TIRSO,criada por agregação
Santo Tirso,COUTO (SÃO MIGUEL),"UNIÃO DAS FREGUESIAS DE SANTO TIRSO, COUTO (SANTA CRISTINA E SÃO MIGUEL) E BURGÃES",SANTO TIRSO,criada por agregação
Santo Tirso,GUIMAREI,UNIÃO DAS FREGUESIAS DE LAMELAS E GUIMAREI,LAMELAS,criada por agregação
Santo Tirso,LAMA,"UNIÃO DAS FREGUESIAS DE AREIAS, SEQUEIRÓ, LAMA E PALMEIRA",AREIAS,criada por agregação
Santo Tirso,LAMELAS,UNIÃO DAS FREGUESIAS DE LAMELAS E GUIMAREI,LAMELAS,criada por agregação
Santo Tirso,MONTE CÓRDOVA,MONTE CÓRDOVA,MONTE CÓRDOVA,sem alteração
Santo Tirso,NEGRELOS (SÃO MAMEDE),"UNIÃO DAS FREGUESIAS DE CAMPO (SÃO MARTINHO), SÃO SALVADOR DO CAMPO E NEGRELOS (SÃO MAMEDE)",CAMPO (SÃO MARTINHO),criada por agregação
Santo Tirso,NEGRELOS (SÃO TOMÉ),NEGRELOS (SÃO TOMÉ),NEGRELOS (SÃO TOMÉ),sem alteração
Santo Tirso,PALMEIRA,"UNIÃO DAS FREGUESIAS DE AREIAS, SEQUEIRÓ, LAMA E PALMEIRA",AREIAS,criada por agregação
Santo Tirso,REBORDÕES,REBORDÕES,REBORDÕES,sem alteração
Santo Tirso,REFOJOS DE RIBA DE AVE,UNIÃO DAS FREGUESIAS DE CARREIRA E REFOJOS DE RIBA DE AVE,CARREIRA,criada por agregação
Santo Tirso,REGUENGA,REGUENGA,REGUENGA,sem alteração
Santo Tirso,RORIZ,RORIZ,RORIZ,sem alteração
Santo Tirso,SANTO TIRSO,"UNIÃO DAS FREGUESIAS DE SANTO TIRSO, COUTO (SANTA CRISTINA E SÃO MIGUEL) E BURGÃES",SANTO TIRSO,criada por agregação
Santo Tirso,SÃO SALVADOR DO CAMPO,"UNIÃO DAS FREGUESIAS DE CAMPO (SÃO MARTINHO), SÃO SALVADOR DO CAMPO E NEGRELOS (SÃO MAMEDE)",CAMPO (SÃO MARTINHO),criada por agregação
Santo Tirso,SEQUEIRÓ,"UNIÃO DAS FREGUESIAS DE AREIAS, SEQUEIRÓ, LAMA E PALMEIRA",AREIAS,criada por agregação
Santo Tirso,VILARINHO,VILARINHO,VILARINHO,sem alteração
Sardoal,ALCARAVELA,ALCARAVELA,ALCARAVELA,sem alteração
Sardoal,SANTIAGO DE MONTALEGRE,SANTIAGO DE MONTALEGRE,SANTIAGO DE MONTALEGRE,sem alteração
Sardoal,SARDOAL,SARDOAL,SARDOAL,sem alteração
Sardoal,VALHASCOS,VALHASCOS,VALHASCOS,sem alteração
Sátão,AVELAL,AVELAL,AVELAL,sem alteração
Sátão,ÁGUAS BOAS,UNIÃO DAS FREGUESIAS DE ÁGUAS BOAS E FORLES,ÁGUAS BOAS,criada por agregação
Sátão,DECERMILO,"UNIÃO DAS FREGUESIAS DE ROMÃS, DECERMILO E VILA LONGA",ROMÃS,criada por agregação
Sátão,FERREIRA DE AVES,FERREIRA DE AVES,FERREIRA DE AVES,sem alteração
Sátão,FORLES,UNIÃO DAS FREGUESIAS DE ÁGUAS BOAS E FORLES,ÁGUAS BOAS,criada por agregação
Sátão,MIOMA,MIOMA,MIOMA,sem alteração
Sátão,RIO DE MOINHOS,RIO DE MOINHOS,RIO DE MOINHOS,sem alteração
Sátão,ROMÃS,"UNIÃO DAS FREGUESIAS DE ROMÃS, DECERMILO E VILA LONGA",ROMÃS,criada por agregação
Sátão,SÁTÃO,SÁTÃO,SÁTÃO,sem alteração
Sátão,SÃO MIGUEL DE VILA BOA,SÃO MIGUEL DE VILA BOA,SÃO MIGUEL DE VILABOA,sem alteração
