municipio,antiga,nova,territorio,total,sede
Alijó,RIBALONGA,UNIÃO DAS FREGUESIAS DE PÓPULO E RIBALONGA,Nenhuma,UNIÃO DAS FREGUESIAS DE PÓPULO E RIBALONGA,PÓPULO
Alijó,CASAL DE LOIVOS,"UNIÃO DAS FREGUESIAS DE VALE DE MENDIZ, CASAL DE LOIVOS E VILARINHO DE COTAS",Nenhuma,"UNIÃO DAS FREGUESIAS DE VALE DE MENDIZ, CASAL DE LOIVOS E VILARINHO DE COTAS",VALE DE MENDIZ
Alijó,VALE DE MENDIZ,"UNIÃO DAS FREGUESIAS DE VALE DE MENDIZ, CASAL DE LOIVOS E VILARINHO DE COTAS",Nenhuma,"UNIÃO DAS FREGUESIAS DE VALE DE MENDIZ, CASAL DE LOIVOS E VILARINHO DE COTAS",VALE DE MENDIZ
Alijó,VILARINHO DE COTAS,"UNIÃO DAS FREGUESIAS DE VALE DE MENDIZ, CASAL DE LOIVOS E VILARINHO DE COTAS",Nenhuma,"UNIÃO DAS FREGUESIAS DE VALE DE MENDIZ, CASAL DE LOIVOS E VILARINHO DE COTAS",VALE DE MENDIZ
Alijó,,,Nenhuma,ALIJÓ,ALIJÓ
Alijó,,,Nenhuma,FAVAIOS,FAVAIOS
Alijó,,,Nenhuma,PEGARINHOS,PEGARINHOS
Alijó,,,Nenhuma,PINHÃO,PINHÃO
Alijó,,,Nenhuma,SANFINS DO DOURO,SANFINS DO DOURO
Alijó,,,Nenhuma,SANTA EUGÉNIA,SANTA EUGÉNIA
Alijó,,,Nenhuma,SÃO MAMEDE DE RIBATUA,SÃO MAMEDE DE RIBATUA
Alijó,,,Nenhuma,VILA CHÃ,VILA CHÃ
Alijó,,,Nenhuma,VILA VERDE,VILA VERDE
Alijó,,,Nenhuma,VILAR DE MAÇADA,VILAR DE MAÇADA
Aljezur,,,Nenhuma,ALJEZUR,ALJEZUR
Aljezur,,,Nenhuma,BORDEIRA,BORDEIRA
Aljezur,,,Nenhuma,ODECEIXE,ODECEIXE
Aljezur,,,Nenhuma,ROGIL,ROGIL
Aljustrel,ALJUSTREL,UNIÃO DAS FREGUESIAS DE ALJUSTREL E RIO DE MOINHOS,Nenhuma,UNIÃO DAS FREGUESIAS DE ALJUSTREL E RIO DE MOINHOS,ALJUSTREL
Aljustrel,RIO DE MOINHOS,UNIÃO DAS FREGUESIAS DE ALJUSTREL E RIO DE MOINHOS,Nenhuma,UNIÃO DAS FREGUESIAS DE ALJUSTREL E RIO DE MOINHOS,ALJUSTREL
Aljustrel,,,Nenhuma,ERVIDEL,ERVIDEL
Aljustrel,,,Nenhuma,MESSEJANA,MESSEJANA
Aljustrel,,,Nenhuma,SÃO JOÃO DE NEGRILHOS,SÃO JOÃO DE NEGRILHOS
Almada,ALMADA,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",Nenhuma,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",ALMADA
Almada,CACILHAS,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",Nenhuma,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",ALMADA
Almada,COVA DA PIEDADE,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",Nenhuma,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",ALMADA
Almada,PRAGAL,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",Nenhuma,"UNIÃO DAS FREGUESIAS DE ALMADA, COVA DA PIEDADE, PRAGAL E CACILHAS",ALMADA
Almada,CAPARICA,UNIÃO DAS FREGUESIAS DE CAPARICA E TRAFARIA,Nenhuma,UNIÃO DAS FREGUESIAS DE CAPARICA E TRAFARIA,CAPARICA
Almada,TRAFARIA,UNIÃO DAS FREGUESIAS DE CAPARICA E TRAFARIA,Nenhuma,UNIÃO DAS FREGUESIAS DE CAPARICA E TRAFARIA,CAPARICA
Almada,CHARNECA DE CAPARICA,UNIÃO DAS FREGUESIAS DE CHARNECA DE CAPARICA E SOBREDA,Nenhuma,UNIÃO DAS FREGUESIAS DE CHARNECA DE CAPARICA E SOBREDA,CHARNECA DE CAPARICA
Almada,SOBREDA,UNIÃO DAS FREGUESIAS DE CHARNECA DE CAPARICA E SOBREDA,Nenhuma,UNIÃO DAS FREGUESIAS DE CHARNECA DE CAPARICA E SOBREDA,CHARNECA DE CAPARICA
Almada,FEIJÓ,UNIÃO DAS FREGUESIAS DE LARANJEIRO E FEIJÓ,Nenhuma,UNIÃO DAS FREGUESIAS DE LARANJEIRO E FEIJÓ,LARANJEIRO
Almada,LARANJEIRO,UNIÃO DAS FREGUESIAS DE LARANJEIRO E FEIJÓ,Nenhuma,UNIÃO DAS FREGUESIAS DE LARANJEIRO E FEIJÓ,LARANJEIRO
Almada,,,Nenhuma,COSTA DA CAPARICA,COSTA DA CAPARICA
Almeida,AMOREIRA,"UNIÃO DAS FREGUESIAS DE AMOREIRA, PARADA E CABREIRA",Nenhuma,"UNIÃO DAS FREGUESIAS DE AMOREIRA, PARADA E CABREIRA",AMOREIRA
